,draw_size,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,surface_cat,fav_win
18,32,106378,0,Kyle Edmund,R,188.0,22.9,111202,0,Hyeon Chung,R,188.0,21.6,3,16,158.0,12.0,3.0,102.0,66.0,54.0,16.0,17.0,1.0,3.0,11.0,1.0,109.0,75.0,51.0,20.0,17.0,6.0,8.0,50.0,992.0,58.0,844.0,2018,2,True
19,32,105777,1,Grigor Dimitrov,R,188.0,26.6,105357,0,John Millman,R,183.0,28.5,3,16,155.0,6.0,5.0,113.0,65.0,51.0,22.0,16.0,4.0,7.0,5.0,1.0,101.0,67.0,46.0,18.0,15.0,3.0,6.0,3.0,5150.0,128.0,436.0,2018,2,True
20,32,105992,0,Ryan Harrison,R,183.0,25.6,104797,0,Denis Istomin,R,188.0,31.3,3,8,96.0,11.0,2.0,60.0,34.0,27.0,14.0,9.0,1.0,2.0,3.0,1.0,67.0,46.0,29.0,12.0,9.0,5.0,7.0,47.0,1010.0,63.0,809.0,2018,2,True
21,32,200282,0,Alex De Minaur,R,183.0,18.8,111581,0,Michael Mmoh,R,188.0,19.9,3,8,74.0,6.0,1.0,46.0,23.0,18.0,17.0,8.0,3.0,3.0,3.0,5.0,51.0,29.0,18.0,8.0,8.0,3.0,7.0,208.0,245.0,175.0,299.0,2018,2,False
22,32,106401,3,Nick Kyrgios,R,193.0,22.6,105238,0,Alexandr Dolgopolov,R,180.0,29.1,3,8,90.0,18.0,5.0,69.0,43.0,38.0,11.0,13.0,1.0,3.0,6.0,3.0,75.0,41.0,33.0,16.0,13.0,2.0,4.0,21.0,2010.0,38.0,1231.0,2018,2,True
23,32,105777,1,Grigor Dimitrov,R,188.0,26.6,106378,0,Kyle Edmund,R,188.0,22.9,3,8,145.0,12.0,9.0,103.0,65.0,54.0,18.0,16.0,2.0,2.0,6.0,1.0,89.0,53.0,39.0,23.0,15.0,4.0,6.0,3.0,5150.0,50.0,992.0,2018,2,True
24,32,105992,0,Ryan Harrison,R,183.0,25.6,200282,0,Alex De Minaur,R,183.0,18.8,3,4,157.0,14.0,5.0,115.0,70.0,49.0,24.0,16.0,3.0,6.0,9.0,5.0,94.0,62.0,49.0,16.0,16.0,0.0,3.0,47.0,1010.0,208.0,245.0,2018,2,True
25,32,106401,3,Nick Kyrgios,R,193.0,22.6,105777,1,Grigor Dimitrov,R,188.0,26.6,3,4,93.0,19.0,2.0,72.0,50.0,41.0,11.0,13.0,1.0,2.0,5.0,6.0,74.0,44.0,32.0,16.0,13.0,3.0,6.0,21.0,2010.0,3.0,5150.0,2018,2,False
26,32,106401,3,Nick Kyrgios,R,193.0,22.6,105992,0,Ryan Harrison,R,183.0,25.6,3,2,73.0,17.0,1.0,56.0,40.0,33.0,9.0,9.0,5.0,5.0,8.0,3.0,58.0,32.0,22.0,12.0,9.0,4.0,7.0,21.0,2010.0,47.0,1010.0,2018,2,True
27,32,106432,0,Borna Coric,R,188.0,21.1,105807,2,Pablo Carreno Busta,R,188.0,26.4,3,32,161.0,13.0,4.0,115.0,80.0,56.0,15.0,16.0,7.0,11.0,3.0,2.0,110.0,73.0,45.0,19.0,16.0,6.0,11.0,48.0,1001.0,10.0,2615.0,2018,2,False
28,32,105932,0,Nikoloz Basilashvili,R,185.0,25.8,105341,0,Thomas Fabbiano,R,173.0,28.6,3,32,76.0,0.0,1.0,61.0,45.0,28.0,10.0,10.0,4.0,6.0,1.0,1.0,55.0,36.0,18.0,11.0,9.0,5.0,9.0,59.0,826.0,73.0,701.0,2018,2,True
29,32,126094,0,Andrey Rublev,R,188.0,20.1,105649,0,Cedrik Marcel Stebe,L,183.0,27.2,3,32,32.0,2.0,5.0,25.0,13.0,13.0,3.0,3.0,1.0,1.0,0.0,1.0,23.0,9.0,5.0,5.0,4.0,0.0,3.0,39.0,1229.0,82.0,651.0,2018,2,True
30,32,104269,7,Fernando Verdasco,L,188.0,34.1,104534,0,Dudi Sela,R,175.0,32.7,3,32,110.0,6.0,6.0,90.0,57.0,35.0,13.0,13.0,9.0,15.0,1.0,4.0,82.0,49.0,23.0,12.0,13.0,7.0,16.0,35.0,1295.0,67.0,755.0,2018,2,True
31,32,105550,0,Guido Pella,L,185.0,27.6,105077,4,Albert Ramos,L,188.0,29.9,3,32,137.0,6.0,2.0,97.0,62.0,43.0,22.0,16.0,8.0,11.0,10.0,2.0,86.0,57.0,43.0,16.0,16.0,4.0,7.0,64.0,774.0,23.0,1845.0,2018,2,False
32,32,105806,0,Mirza Basic,R,188.0,26.4,104890,0,Andreas Haider Maurer,R,190.0,30.7,3,32,67.0,8.0,0.0,49.0,31.0,25.0,14.0,9.0,3.0,3.0,9.0,4.0,70.0,43.0,27.0,14.0,10.0,4.0,7.0,138.0,399.0,451.0,81.0,2018,2,True
33,32,103852,8,Feliciano Lopez,L,188.0,36.2,104198,0,Guillermo Garcia Lopez,R,188.0,34.5,3,32,151.0,23.0,4.0,113.0,67.0,51.0,26.0,17.0,12.0,13.0,9.0,2.0,111.0,66.0,46.0,29.0,17.0,3.0,4.0,36.0,1295.0,70.0,714.0,2018,2,True
34,32,105376,0,Peter Gojowczyk,R,185.0,28.4,105936,6,Filip Krajinovic,R,185.0,25.8,3,32,66.0,6.0,2.0,53.0,26.0,22.0,12.0,9.0,1.0,3.0,1.0,4.0,49.0,33.0,19.0,3.0,8.0,5.0,10.0,60.0,817.0,34.0,1298.0,2018,2,False
35,32,126610,0,Matteo Berrettini,R,196.0,21.7,104678,0,Viktor Troicki,R,193.0,31.8,3,32,139.0,12.0,2.0,96.0,55.0,45.0,19.0,16.0,2.0,5.0,6.0,3.0,122.0,94.0,64.0,12.0,16.0,10.0,13.0,135.0,410.0,55.0,880.0,2018,2,False
36,32,104792,0,Gael Monfils,R,193.0,31.3,103893,0,Paolo Lorenzi,R,183.0,36.0,3,32,110.0,7.0,6.0,88.0,57.0,44.0,12.0,14.0,5.0,8.0,3.0,3.0,78.0,50.0,35.0,12.0,14.0,3.0,7.0,46.0,1015.0,43.0,1095.0,2018,2,False
37,32,105526,0,Jan Lennard Struff,R,193.0,27.6,104607,3,Tomas Berdych,R,196.0,32.2,3,32,128.0,8.0,6.0,95.0,53.0,43.0,17.0,14.0,2.0,5.0,9.0,2.0,96.0,58.0,49.0,16.0,15.0,5.0,7.0,53.0,898.0,19.0,2095.0,2018,2,False
38,32,104755,5,Richard Gasquet,R,185.0,31.5,103607,0,Victor Estrella,R,173.0,37.4,3,32,51.0,7.0,0.0,37.0,22.0,19.0,10.0,7.0,0.0,0.0,1.0,0.0,38.0,27.0,9.0,5.0,7.0,3.0,8.0,31.0,1375.0,83.0,648.0,2018,2,True
39,32,126774,0,Stefanos Tsitsipas,R,193.0,19.3,104252,0,Florian Mayer,R,190.0,34.2,3,32,120.0,10.0,0.0,84.0,52.0,43.0,14.0,16.0,2.0,5.0,0.0,1.0,106.0,63.0,45.0,20.0,16.0,7.0,11.0,91.0,606.0,69.0,718.0,2018,2,False
40,32,105379,0,Aljaz Bedene,R,181.0,28.4,104291,0,Malek Jaziri,R,185.0,33.9,3,32,83.0,9.0,0.0,50.0,29.0,25.0,9.0,9.0,2.0,4.0,2.0,5.0,74.0,47.0,27.0,8.0,10.0,5.0,11.0,49.0,993.0,98.0,580.0,2018,2,True
41,32,106233,1,Dominic Thiem,R,185.0,24.3,105539,0,Evgeny Donskoy,R,185.0,27.6,3,32,96.0,13.0,3.0,64.0,38.0,35.0,11.0,10.0,3.0,4.0,2.0,1.0,77.0,53.0,34.0,11.0,11.0,4.0,7.0,5.0,4015.0,72.0,704.0,2018,2,True
42,32,106432,0,Borna Coric,R,188.0,21.1,105932,0,Nikoloz Basilashvili,R,185.0,25.8,3,16,74.0,3.0,1.0,55.0,39.0,28.0,8.0,8.0,2.0,3.0,3.0,3.0,59.0,35.0,15.0,12.0,8.0,6.0,11.0,48.0,1001.0,59.0,826.0,2018,2,True
43,32,126094,0,Andrey Rublev,R,188.0,20.1,104269,7,Fernando Verdasco,L,188.0,34.1,3,16,117.0,3.0,9.0,101.0,62.0,42.0,17.0,15.0,7.0,11.0,12.0,5.0,75.0,41.0,30.0,18.0,14.0,3.0,7.0,39.0,1229.0,35.0,1295.0,2018,2,False
44,32,105550,0,Guido Pella,L,185.0,27.6,105882,0,Stefano Travaglia,R,185.0,26.0,3,16,95.0,2.0,1.0,60.0,43.0,31.0,11.0,10.0,4.0,6.0,9.0,2.0,79.0,42.0,30.0,13.0,11.0,4.0,8.0,64.0,774.0,134.0,414.0,2018,2,True
45,32,105806,0,Mirza Basic,R,188.0,26.4,103852,8,Feliciano Lopez,L,188.0,36.2,3,16,85.0,8.0,1.0,71.0,46.0,33.0,17.0,11.0,3.0,3.0,13.0,4.0,71.0,38.0,31.0,16.0,11.0,4.0,5.0,138.0,399.0,36.0,1295.0,2018,2,False
46,32,105376,0,Peter Gojowczyk,R,185.0,28.4,126610,0,Matteo Berrettini,R,196.0,21.7,3,16,51.0,2.0,0.0,38.0,22.0,19.0,13.0,8.0,0.0,0.0,3.0,2.0,50.0,30.0,17.0,8.0,8.0,2.0,6.0,60.0,817.0,135.0,410.0,2018,2,True
47,32,104792,0,Gael Monfils,R,193.0,31.3,105526,0,Jan Lennard Struff,R,193.0,27.6,3,16,80.0,3.0,5.0,68.0,40.0,32.0,16.0,13.0,1.0,3.0,5.0,3.0,65.0,38.0,27.0,18.0,12.0,5.0,7.0,46.0,1015.0,53.0,898.0,2018,2,True
48,32,126774,0,Stefanos Tsitsipas,R,193.0,19.3,104755,5,Richard Gasquet,R,185.0,31.5,3,16,71.0,4.0,2.0,59.0,36.0,31.0,11.0,10.0,0.0,0.0,2.0,0.0,56.0,42.0,27.0,9.0,9.0,1.0,3.0,91.0,606.0,31.0,1375.0,2018,2,False
